1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brazil,429.782385399,373.991938943,369.327582015,327.968639609,358.407401646,324.557315217,315.472055184,236.35112024,161.313692306,158.162542313,471.66141255,397.661916777,369.614677192,nan
China,186.410270222,110.595255696,77.4884634037,47.5928869661,34.1021293511,20.8170863491,14.9660068235,12.8934979894,9.90801230616,7.2324927315,242.633246634,146.4107627,94.9178062083,nan
Germany,2529.73853934,2321.7332027,2150.27214442,2068.56899793,1763.68306336,1581.05531926,1454.54282572,1271.11567623,nan,nan,2542.02757175,2356.43851679,2294.57088502,nan
Iran,212.503025238,167.966439805,148.466602266,144.585245564,124.164750201,147.701185153,220.442045612,179.357465688,111.721826804,nan,nan,190.65900539,155.009060786,nan
Japan,4083.72666435,3736.32874443,3751.85808584,3546.59254443,2906.42223586,2444.42017434,2068.06574102,1839.87211836,1372.60626552,915.732330862,3997.17874534,3929.5306204,3729.1706158,nan
Malawi,15.7621367614,14.2391447858,15.5373892405,12.9360235984,13.8371882571,14.7791025339,15.3275311907,14.0893352706,12.6008610334,10.1996530434,18.0902295641,14.9484329878,15.5271544474,nan
Russia,288.884735487,196.751860243,159.069649954,210.622376151,nan,nan,nan,nan,nan,nan,292.800503306,244.296296614,177.51412908,nan
United Kingdom,2977.13033482,2621.49673501,2273.2538466,1972.17386416,1869.90358062,1573.41806454,1506.00702805,1368.20984769,1164.54315407,1025.35937022,2824.43369363,2835.40395831,2505.76135305,nan
United States,3871.08854415,3542.79099645,3183.14615942,2840.14651759,2654.98760217,2231.02393685,2149.18201767,1944.13799079,1737.45364841,1442.67577149,3732.96159139,3771.80053666,3508.19230844,nan
